id,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,total_points,in_dreamteam,now_cost,ep_this,ep_next,selected_by_percent,expected_goals_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,name,team_name,position
204,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,42,0.5,0.0,0.3,0.0,0.0,1.85,2.43,1.0,0.0,Sam Johnstone,Wolves,GKP
205,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,51,0.0,1.5,0.1,0.08,0.17,1.49,1.48,0.93,0.28,Daichi Kamada,Crystal Palace,MID
206,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,48,0.0,3.5,0.0,0.06,0.14,1.23,1.11,1.05,0.29,Jefferson Lerma Solís,Crystal Palace,MID
207,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,75,0.0,0.5,5.6,0.48,0.57,1.28,1.18,1.06,0.3,Jean-Philippe Mateta,Crystal Palace,FWD
208,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,44,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Matheus França de Oliveira,Crystal Palace,MID
209,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,39,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Remi Matthews,Crystal Palace,GKP
210,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,48,0.0,6.5,2.0,0.05,0.17,1.3,1.16,1.05,0.38,Tyrick Mitchell,Crystal Palace,DEF
211,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,51,0.0,6.5,16.1,0.16,0.25,1.24,1.08,1.04,0.35,Daniel Muñoz,Crystal Palace,DEF
212,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Ozoh,Crystal Palace,MID
213,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jesurun Rak-Sakyi,Crystal Palace,MID
214,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,46,0.0,0.0,0.0,0.16,0.29,1.45,2.84,0.0,0.0,Jeffrey Schlupp,Crystal Palace,MID
215,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,43,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Joel Ward,Crystal Palace,DEF
216,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,47,0.0,2.5,0.1,0.03,0.18,1.29,1.18,1.07,0.21,Adam Wharton,Crystal Palace,MID
217,false,67,0,0,0,1,0,0,0,0,0,0,0,5,0.4,5.2,21.0,2.7,1,0.20,0.18,0.38,0.46,0,0,0,0,0,0,0,2,false,51,2.0,1.0,0.5,0.15,0.2,1.2,1.23,1.09,0.41,Abdoulaye Doucouré,Everton,MID
218,false,79,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,2.0,21.0,2.0,1,0.11,0.01,0.12,0.83,0,0,0,0,0,0,0,2,false,51,2.0,1.0,7.4,0.52,0.54,1.04,1.66,0.78,0.2,Norberto Bercique Gomes Betuncal,Everton,FWD
219,false,90,0,0,0,1,0,0,0,0,0,0,0,12,22.6,1.7,0.0,2.4,1,0.00,0.01,0.01,0.83,0,0,0,0,0,0,0,2,false,48,2.0,1.0,1.6,0.04,0.05,1.05,1.0,1.0,0.35,Jarrad Branthwaite,Everton,DEF
220,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,54,0.0,0.0,1.1,0.35,0.39,1.33,0.97,1.09,0.46,Dominic Calvert-Lewin,Everton,FWD
221,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,43,0.0,-1.0,0.0,0.28,0.28,1.98,1.84,0.92,0.0,Séamus Coleman,Everton,DEF
222,false,90,0,1,0,1,0,0,0,0,0,0,1,26,36.2,15.8,6.0,5.8,1,0.00,0.61,0.61,0.83,0,0,0,0,0,0,0,6,false,48,4.5,3.5,0.3,0.04,0.11,1.22,1.31,1.03,0.32,Idrissa Gueye,Everton,MID
223,false,78,0,0,0,1,0,0,0,0,0,0,0,13,14.2,7.1,0.0,2.1,1,0.00,0.03,0.03,0.83,0,0,0,0,0,0,0,2,false,49,2.0,1.0,0.0,0.01,0.11,1.09,1.26,0.94,0.21,James Garner,Everton,MID
224,false,78,0,0,0,1,0,0,0,0,0,0,0,14,13.8,31.3,16.0,6.1,1,0.09,0.22,0.31,0.83,0,0,0,0,0,0,0,2,false,52,6.0,5.0,0.2,0.18,0.32,1.42,1.32,1.02,0.24,Jack Harrison,Everton,MID
225,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,40,0.0,0.0,0.1,0.0,0.0,1.26,18.0,0.0,0.0,Mason Holgate,Everton,DEF
226,false,11,0,0,0,0,0,0,0,0,0,0,0,3,2.8,1.0,0.0,0.4,0,0.00,0.01,0.01,0.00,0,0,0,0,0,0,0,1,false,43,0.5,-0.5,0.8,0.04,0.07,1.77,2.5,0.77,0.0,Tim Iroegbunam,Everton,MID
227,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,39,0.0,-1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,João Neves Virgínia,Everton,GKP
228,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,39,0.0,-1.0,4.1,0.05,0.05,1.6,1.88,1.0,0.22,Michael Keane,Everton,DEF
229,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,49,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Neal Maupay,Everton,FWD
230,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,51,0.0,-0.5,1.2,0.07,0.38,1.4,1.66,1.03,0.32,Dwight McNeil,Everton,MID
231,false,90,0,0,0,1,0,0,0,0,0,0,0,15,21.6,36.5,4.0,6.2,1,0.00,0.13,0.13,0.83,0,0,0,0,0,0,0,2,false,44,2.0,0.8,8.5,0.01,0.07,1.17,1.22,1.03,0.3,Vitalii Mykolenko,Everton,DEF
232,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,52,0.0,0.0,0.9,0.17,0.22,1.15,0.96,1.06,0.53,Iliman Ndiaye,Everton,FWD
233,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,48,0.0,0.0,2.1,0.15,0.17,1.48,1.75,1.17,0.17,Amadou Onana,Aston Villa,MID
234,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,44,0.0,-1.0,0.0,0.05,0.27,1.41,1.45,0.0,0.0,Nathan Patterson,Everton,DEF
235,false,90,0,0,0,1,0,0,0,0,0,5,0,17,40.4,0.0,0.0,4.0,1,0.00,0.00,0.00,0.83,0,0,0,0,0,0,0,3,false,51,2.5,1.5,18.2,0.0,0.01,1.22,1.24,1.0,0.31,Jordan Pickford,Everton,GKP
